Name,Operator,Type,Pipeline,Status,States,Regions,Authority,Docket,Updated,Completed,Year,Cost,Miles,Capacity,Diameter
Enterprise Wilson Storage Link,Wilson Gas Storage Facility,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/30/10,2010,2010,,62,600,30
Transco Elba Express Interconnects - Georgia,Transcontinental Gas Pipeline,Lateral,Interstate,Completed,GA,Southeast,FERC,CP09-88,7/16/12,2010,2010,25,,1175,
Transco Mobile Bay South Expansion,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,AL,Southeast,FERC,CP08-476,7/29/10,2010,2010,37,,254,
Transco 85 North Expansion Phase I,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,NC,Southeast,FERC,CP09-57,7/14/10,2010,2010,100,,90,
TECO SeaCoast Pipeline Project,SeaCoast Gas Transmission LLC,New Pipeline,Intrastate,Completed,FL,Southeast,State,na,3/31/11,2010,2010,75,50,100,"24,20"
Enbridge Marquez Plant Line,Enterprise Products Partners,Expansion,Intrastate,Completed,TX,Southwest,State,na,4/22/11,2010,2010,,69,,"16,36"
Red River Lateral,Regency Energy Partners LP,Expansion,Intrastate,Completed,LA,Southwest,State,na,2/15/10,2010,2010,47,13,100,36
Haynesville Expansion Project,Regency Energy Partners LP,Expansion,Intrastate,Completed,LA,Southwest,State,na,2/15/11,2010,2010,1053,121,1100,"36,42"
Algonquin East-to-West (EW2) Expansion,Algonquin Gas Transmission,Expansion,Interstate,completed,CT,Northeast,FERC,CP08-420,7/20/10,2010,2010,45,3,282,36
Overthrust Compression Expansion Project,Questar Overthrust Pipeline Co,Expansion,Interstate,Completed,WY,Central,FERC,CP09-76,7/29/10,2010,2010,39,,300,
Midcontinent Express Pipeline Expansion,Midcontinent Express Pipeline,Expansion,Interstate,Completed,OK,"Southwest,Southeast",FERC,CP09-56,7/8/10,2010,2010,446.666666666667,,500,
Midcontinent Express Pipeline Expansion,Midcontinent Express Pipeline,Expansion,Interstate,Completed,TX,"Southwest,Southeast",FERC,CP09-56,7/8/10,2010,2010,446.666666666667,,500,
Midcontinent Express Pipeline Expansion,Midcontinent Express Pipeline,Expansion,Interstate,Completed,LA,"Southwest,Southeast",FERC,CP09-56,7/8/10,2010,2010,446.666666666667,,500,
