Name,Operator,Type,Pipeline,Status,States,Regions,Authority,Docket,Updated,Completed,Year,Cost,Miles,Capacity,Diameter
TETCO Cedar Bayou Lateral Project,Texas Eastern Transmission,Lateral,Interstate,Completed,TX,Southwest,FERC,CP07-411,6/26/09,2008,2008,17,4,360,20
ETenn CNX Pressure Increase,East Tennessee Nat Gas Co,Expansion,Interstate,Completed,VA,"Northeast,Southeast",FERC,CP08-35,6/26/09,2008,2008,2.5,,45,
ETenn CNX Pressure Increase,East Tennessee Nat Gas Co,Expansion,Interstate,Completed,NC,"Northeast,Southeast",FERC,CP08-35,6/26/09,2008,2008,2.5,,45,
Big Sandy Pipeline Phase II,Equitrans,Lateral,Interstate,Completed,KY,Southeast,FERC,CP06-275,6/26/09,2008,2008,20,,60,20
ETenn Patriot Extension III,East Tennessee Nat Gas Co,Lateral,Interstate,Completed,VA,"Northeast,Southeast",FERC,CP01-415,6/26/09,2008,2008,10,,37.5,"24,20"
ETenn Patriot Extension III,East Tennessee Nat Gas Co,Lateral,Interstate,Completed,NC,"Northeast,Southeast",FERC,CP01-415,6/26/09,2008,2008,10,,37.5,"24,20"
Eastern Shore 2008 Expansion,Eastern Shore Natural Gas,Expansion,Interstate,Completed,PA,Northeast,FERC,CP06-53,6/26/09,2008,2008,4,3,3.66666666666667,16
Eastern Shore 2008 Expansion,Eastern Shore Natural Gas,Expansion,Interstate,Completed,MD,Northeast,FERC,CP06-53,6/26/09,2008,2008,4,3,3.66666666666667,16
Eastern Shore 2008 Expansion,Eastern Shore Natural Gas,Expansion,Interstate,Completed,DE,Northeast,FERC,CP06-53,6/26/09,2008,2008,4,3,3.66666666666667,16
Empire/Millennium Expansion,Empire Pipeline,Expansion,Interstate,Completed,NY,Northeast,FERC,CP06-5/6/7,6/26/09,2008,2008,187,78,250,24
ET Southeast Boosier Pipeline Phase 1,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2008,2008,360,165,900,"42,24"
ET North side to Paris Loop,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2008,2008,260,145,350,"36,30"
El Paso Eunice Replacement Project,El Paso Natural Gas,Expansion,Interstate,Completed,NM,Southwest,FERC,CP08-2,7/8/10,2008,2008,27,,12,
El Paso Hobbs Lateral,El Paso Natural Gas,Lateral,Interstate,Completed,TX,Southwest,FERC,CP08-14,6/26/09,2008,2008,17,7,150,20
El Paso Picacho Compressor Station Project,El Paso Natural Gas,Expansion,Interstate,Completed,AZ,Western,FERC,CP07-448,6/26/09,2008,2008,24,,30,
ET Maypearl to Malone,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2008,2008,50,25,600,36
Enbridge East Texas System Extension,Enbridge Energy Pipeline Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2008,2008,465,190,700,36
Big Sandy Pipeline Phase I,Equitrans,New Pipeline,Interstate,Completed,KY,Southeast,FERC,CP06-275,6/26/09,2008,2008,60,68,70,20
Gulfstream Pipeline Phase 4 (Bartow),Gulfstream Natural Gas System,Expansion,Interstate,Completed,AL,Southeast,FERC,CP07-51,6/26/09,2008,2008,58.5,9,77.5,20
Gulfstream Pipeline Phase 4 (Bartow),Gulfstream Natural Gas System,Expansion,Interstate,Completed,FL,Southeast,FERC,CP07-51,6/26/09,2008,2008,58.5,9,77.5,20
Millennium Pipeline 2008,Millennium Pipeline,New Pipeline,Interstate,Completed,NY,Northeast,FERC,CP98-150,6/26/09,2008,2008,664,182,525,"30,24,14"
MIGC Southern (Python) Expansion,MIGC Inc.,Expansion,Interstate,Completed,WY,Central,FERC,CP07-178,6/26/09,2008,2008,4,,45,
Hoback Pipeline Energy Project,Lower Valley Energy Coop,New Pipeline,Intrastate,Completed,WY,Central,State,na,6/26/09,2008,2008,20,50,6,6
KM Tejas/Texas Pipeline Link,Kinder Morgan Energy Partners,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2008,2008,72,58,225,24
KM Rockies Express (REX-West),Rockies Express Pipeline,New Pipeline,Interstate,Completed,CO,Central,FERC,CP06-354,6/26/09,2008,2008,482.5,179.5,375,"42,24"
KM Rockies Express (REX-West),Rockies Express Pipeline,New Pipeline,Interstate,Completed,NE,Central,FERC,CP06-354,6/26/09,2008,2008,482.5,179.5,375,"42,24"
KM Rockies Express (REX-West),Rockies Express Pipeline,New Pipeline,Interstate,Completed,KS,Central,FERC,CP06-354,6/26/09,2008,2008,482.5,179.5,375,"42,24"
KM Rockies Express (REX-West),Rockies Express Pipeline,New Pipeline,Interstate,Completed,MO,Central,FERC,CP06-354,6/26/09,2008,2008,482.5,179.5,375,"42,24"
KM 2008 Grand Island Expansion,Kinder Morgan Energy Partners,Expansion,Interstate,Completed,NE,Central,FERC,na,6/26/09,2008,2008,23,26,22,"16,12"
KM Colorado Lateral Project,Kinder Morgan Energy Partners,Lateral,Interstate,Completed,CO,Central,FERC,CP07-430,6/26/09,2008,2008,30,41,74,12
Iroquois Market Access Project,Iroquois Pipeline Co,Expansion,Interstate,Completed,CT,Northeast,FERC,CP02-31,6/26/09,2008,2008,21,,50,
Iroquois Market Access Project,Iroquois Pipeline Co,Expansion,Interstate,Completed,NY,Northeast,FERC,CP02-31,6/26/09,2008,2008,21,,50,
Cannon Falls NG Pipeline Project,Greater Minnesota Transmission,Lateral,Intrastate,Completed,MN,Midwest,State,na,6/26/09,2008,2008,7,13,91,16
Iroquois 08/09 Expansion Phase 1,Iroquois Pipeline Co,Expansion,Interstate,Completed,NY,Northeast,FERC,CP07-457,3/11/10,2008,2008,29,1,47.5,36
Iroquois 08/09 Expansion Phase 1,Iroquois Pipeline Co,Expansion,Interstate,Completed,CT,Northeast,FERC,CP07-457,3/11/10,2008,2008,29,1,47.5,36
FGT East Leg Expansion,Florida Gas Trans Co,Lateral,Interstate,Completed,FL,Southeast,FERC,CP07-82,6/26/09,2008,2008,16,7,10,30
Gulfstream Pipeline Phase 3b,Gulfstream Natural Gas System,Lateral,Interstate,Completed,FL,Southeast,FERC,CP00-06-014,7/8/10,2008,2008,112,34,160,30
Gulfstream Pipeline Phase 3a,Gulfstream Natural Gas System,Lateral,Interstate,Completed,FL,Southeast,FERC,CP00-06-014,6/26/09,2008,2008,129,34,185,30
GS Texas to Mississippi Expansion,Gulf South Pipeline,Expansion,Interstate,Completed,LA,"Southwest,Southeast",FERC,CP06-446,7/29/10,2008,2008,480.5,121.5,850,"42,36"
GS Texas to Mississippi Expansion,Gulf South Pipeline,Expansion,Interstate,Completed,MS,"Southwest,Southeast",FERC,CP06-446,7/29/10,2008,2008,480.5,121.5,850,"42,36"
GS Southeast Expansion,Gulf South Pipeline,Expansion,Interstate,Completed,MS,Southeast,FERC,CP07-32,6/26/09,2008,2008,648,55.5,636,42
GS Southeast Expansion,Gulf South Pipeline,Expansion,Interstate,Completed,AL,Southeast,FERC,CP07-32,6/26/09,2008,2008,648,55.5,636,42
GS Mobile Compressor Expansion,Gulf South Pipeline,Expansion,Interstate,Completed,AL,Southeast,FERC,CP07-396,6/26/09,2008,2008,23,,250,
GS Gulf Crossing Mississippi Loop,Gulf South Pipeline,Expansion,Interstate,Completed,MS,Southeast,FERC,CP07-401,6/26/09,2008,2008,25,18,1000,42
Dominion Cove Point PL 2008 Expansion,Dominion Cove Point LNG PL Co,Expansion,Interstate,Completed,MD,Northeast,FERC,CP05-132,6/26/09,2008,2008,80,24,400,36
Dominion Cove Point PL 2008 Expansion,Dominion Cove Point LNG PL Co,Expansion,Interstate,Completed,VA,Northeast,FERC,CP05-132,6/26/09,2008,2008,80,24,400,36
Freeport LNG Pipeline,Freeport LNG Development LP,Expansion,Interstate,Completed,TX,Southwest,FERC,CP03-75,6/26/09,2008,2008,18,10,1750,42
Brazoria Interconnector Gas Pipeline,Freeport LNG Development LP,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2008,2008,56,30,2600,42
Gulfstream Bayside Lateral,Tampa Electric Co,Lateral,Intrastate,Completed,FL,Southeast,State,na,6/26/09,2008,2008,30,28,200,24
WB East/West Mondak Subsystem Expansion,Williston Basin Interstate PL,Expansion,Interstate,Completed,WY,Central,FERC,CP08-154,6/26/09,2008,2008,3.5,,20.5,
WB East/West Mondak Subsystem Expansion,Williston Basin Interstate PL,Expansion,Interstate,Completed,ND,Central,FERC,CP08-154,6/26/09,2008,2008,3.5,,20.5,
Algonquin Ramapo Expansion,Algonquin Gas Transmission,Lateral,Interstate,Completed,NJ,Northeast,FERC,CP06-76,6/26/09,2008,2008,96,2.5,162.5,42
Algonquin Ramapo Expansion,Algonquin Gas Transmission,Lateral,Interstate,Completed,CT,Northeast,FERC,CP06-76,6/26/09,2008,2008,96,2.5,162.5,42
TCPL 2008 Eastern Service Expansion,TransCanada Pipeline LTD,Expansion,Interstate,Completed,QU,"Canada,Northeast",NEB of Canada,na,6/26/09,2008,2008,7.5,2,5,12
TCPL 2008 Eastern Service Expansion,TransCanada Pipeline LTD,Expansion,Interstate,Completed,VT,"Canada,Northeast",NEB of Canada,na,6/26/09,2008,2008,7.5,2,5,12
Transco Sentinel Expansion Phase I,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,PA,Northeast,FERC,CP08-31,6/26/09,2008,2008,16.5,2,20,42
Transco Sentinel Expansion Phase I,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,NJ,Northeast,FERC,CP08-31,6/26/09,2008,2008,16.5,2,20,42
TW San Juan Lateral Expansion,Transwestern Pipeline Co,Expansion,Interstate,Completed,NM,Southwest,FERC,CP06-459,6/26/09,2008,2008,107,25,375,36
Trunkline Field Zone Expansion II,Trunkline Gas Co,Expansion,Interstate,Completed,TX,Southwest,FERC,CP08-99,6/26/09,2008,2008,23,7,95,36
Trunkline Kaplan-to-Henry Hub (NTX) Extension,Trunkline Gas Co,Expansion,Interstate,Completed,LA,Southwest,FERC,CP06-452,6/26/09,2008,2008,20,14,625,36
Tuscarora 2008 Sys Expansion,Tuscarora Pipeline Co,Lateral,Interstate,Completed,NV,Western,FERC,CP07-27,6/26/09,2008,2008,8.5,0,20,
Tuscarora 2008 Sys Expansion,Tuscarora Pipeline Co,Lateral,Interstate,Completed,CA,Western,FERC,CP07-27,6/26/09,2008,2008,8.5,0,20,
Union Gas 2008 Expansion,Union Gas LTD,Expansion,Foreign,Completed,ON,Canada,NEB of Canada,na,6/26/09,2008,2008,,,485,
Sabine Pass LNG Line,Cheniere Creole Trail LLP,Expansion,Interstate,Completed,LA,Southwest,FERC,CP07-426,7/29/10,2008,2008,350,16,2000,42
We Hartford/Westend Lateral,We Energies Inc,Lateral,Intrastate,Completed,WI,Midwest,State,na,6/26/09,2008,2008,14,13,50,8
MarkWest Lea County Expansion,MarkWest New Mexico LP,Expansion,Interstate,Completed,NM,Southwest,FERC,CP08-01,6/26/09,2008,2008,3,3,110,16
WB Sheyenne Expansion Project,Williston Basin Interstate PL,Expansion,Interstate,Completed,ND,Central,FERC,CP08-89,6/26/09,2008,2008,8,1,11,8
WPSC Chilton Lateral,Wisconsin Public Service Corp,Lateral,Intrastate,Completed,WI,Midwest,State,na,3/9/10,2008,2008,1,1,50,4
WPSC Denmark Lateral,Wisconsin Public Service Corp,Lateral,Intrastate,Completed,WI,Midwest,State,na,6/26/09,2008,2008,15,14,100,12
WPSC Sheboygan/Plymouth Lateral,Wisconsin Public Service Corp,Lateral,Intrastate,Completed,WI,Midwest,State,na,7/22/10,2008,2008,30,32,100,"16,12"
WIG Mainline Expansion,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,WY,Central,FERC,CP07-14,6/26/09,2008,2008,22,,150,
WIG Medicine Bow 08 Expansion,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,WY,Central,FERC,CP07-395,6/26/09,2008,2008,16,,165,
WIG Medicine Bow 08 Expansion,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,CO,Central,FERC,CP07-395,6/26/09,2008,2008,16,,165,
WIG Piceance Expansion Phase 1,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,CO,Central,FERC,CP08-403,7/8/10,2008,2008,46,,50,
CIG High Plains Project,Colorado Interstate Gas Co,New Pipeline,Interstate,Completed,CO,Central,FERC,CP07-207,1/22/10,2008,2008,216,164,900,"30,24"
We Fox Valley Lateral,We Energies Inc,Lateral,Intrastate,Completed,WI,Midwest,State,na,6/26/09,2008,2008,15,13,100,"20,16,12"
CEGT Cove Compressor Station Project,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,AR,Southwest,FERC,CP07-437,6/26/09,2008,2008,26,,200,
CGT Henry Hub Expansion,Columbia Gas Transmission,Expansion,Interstate,Completed,LA,Southwest,FERC,na,6/26/09,2008,2008,25,,230,
CGT East Lateral Ryane Expansion,Columbia Gas Transmission,Expansion,Interstate,Completed,LA,Southwest,FERC,CP08-26,6/26/09,2008,2008,18,,180,
CGT Line A-5 Replacement,Columbia Gas Transmission,Expansion,Interstate,Completed,NY,Northeast,FERC,CP98-151,6/26/09,2008,2008,,9,,30
Cheyenne Plains Kirk Compressor Station,Cheyenne Plains Pipeline Co,Expansion,Interstate,Completed,CO,Central,FERC,CP07-128,6/26/09,2008,2008,10,,45,36
Cheyenne Plains Kirk Compressor Station,Cheyenne Plains Pipeline Co,Expansion,Interstate,Completed,KS,Central,FERC,CP07-128,6/26/09,2008,2008,10,,45,36
Cheniere Southern Trail Pipeline,Cheniere Energy,New Pipeline,Interstate,Completed,LA,Southwest,FERC,CP05-357,7/29/10,2008,2008,194.333333333333,45,666.666666666667,"42,36"
Cheniere Southern Trail Pipeline,Cheniere Energy,New Pipeline,Interstate,Completed,MS,Southwest,FERC,CP05-357,7/29/10,2008,2008,194.333333333333,45,666.666666666667,"42,36"
Cheniere Southern Trail Pipeline,Cheniere Energy,New Pipeline,Interstate,Completed,AL,Southwest,FERC,CP05-357,7/29/10,2008,2008,194.333333333333,45,666.666666666667,"42,36"
Mississippi Hub Storage Phase 1,Mississippi Hub LLC,Lateral,Interstate,Completed,MS,Southeast,FERC,CP07-4,6/26/09,2008,2008,,11,1200,36
Stagecoach North Lateral,Central New York Oil & Gas,Lateral,Interstate,Completed,NY,Northeast,FERC,CP06-64,6/26/09,2008,2008,16,9,400,24
Dominion TL-263 Expansion Project,Dominion Transmission,Expansion,Interstate,Completed,WV,Northeast,FERC,CP07-10,6/26/09,2008,2008,15,6,21,"12,16"
TCPL 2008 Chippawa Expansion (Empire),TransCanada Pipeline LTD,Expansion,Interstate,Completed,ON,"Canada,Northeast",NEB of Canada,na,6/26/09,2008,2008,15,,65,
TCPL 2008 Chippawa Expansion (Empire),TransCanada Pipeline LTD,Expansion,Interstate,Completed,NY,"Canada,Northeast",NEB of Canada,na,6/26/09,2008,2008,15,,65,
CEGT Perryville Expansion Phase 3,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,TX,Southwest,FERC,CP07-41,6/26/09,2008,2008,20.5,,158,
CEGT Perryville Expansion Phase 3,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,LA,Southwest,FERC,CP07-41,6/26/09,2008,2008,20.5,,158,
Maritimes & Northeast Phase IV LNG Expansion,Maritimes & Northeast Pipeline,Expansion,Interstate,Completed,NB,"Canada,Northeast",FERC,CP06-335,6/26/09,2008,2008,160.5,1,210,30
Maritimes & Northeast Phase IV LNG Expansion,Maritimes & Northeast Pipeline,Expansion,Interstate,Completed,MA,"Canada,Northeast",FERC,CP06-335,6/26/09,2008,2008,160.5,1,210,30
Tres Palacios Storage Lateral,NGS Investments LLC,Lateral,Interstate,Completed,TX,Southwest,FERC,CP07-90,7/22/10,2008,2008,60,42,2500,36
Neptune LNG Lateral,Neptune LNG LLC,Lateral,Interstate,Completed,MA,Northeast,Coast Guard,na,6/26/09,2008,2008,23,13,750,24
NGPL Louisiana/Gulf Coast Line Expansion,Nat Gas P L Co of America,Expansion,Interstate,Completed,TX,Southwest,FERC,CP07-03,6/26/09,2008,2008,34.5,2.5,100,36
NGPL Louisiana/Gulf Coast Line Expansion,Nat Gas P L Co of America,Expansion,Interstate,Completed,LA,Southwest,FERC,CP07-03,6/26/09,2008,2008,34.5,2.5,100,36
Monroe Storage Field TETCO Lateral,Monroe Gas Storage Co. LLC,Lateral,Interstate,Completed,MS,Southeast,FERC,CP07-406,6/26/09,2008,2008,42,23,465,24
TETCO TIME II Expansion Phase 2,Texas Eastern Transmission,Expansion,Interstate,Completed,OH,Northeast,FERC,CP06-115,6/26/09,2008,2008,13.5,2.5,37.5,36
TETCO TIME II Expansion Phase 2,Texas Eastern Transmission,Expansion,Interstate,Completed,WV,Northeast,FERC,CP06-115,6/26/09,2008,2008,13.5,2.5,37.5,36
TETCO TIME II Expansion Phase 2,Texas Eastern Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP06-115,6/26/09,2008,2008,13.5,2.5,37.5,36
TETCO TIME II Expansion Phase 2,Texas Eastern Transmission,Expansion,Interstate,Completed,NJ,Northeast,FERC,CP06-115,6/26/09,2008,2008,13.5,2.5,37.5,36
TGT Fayetteville Lateral Phase 1,Texas Gas Transmission Co,New Pipeline,Interstate,Completed,AR,Southwest,FERC,CP07-417,6/26/09,2008,2008,205,66,967,"36,18"
MidWest 2006 Eastern Extension Project,Midwestern Gas Transmission Co,Expansion,Interstate,Completed,TN,Southeast,FERC,CP05-372,6/26/09,2008,2008,26,31,120,16
Jamestown Pipeline,MichCon Energy Co,Expansion,Intrastate,Completed,MI,Midwest,State,na,6/26/09,2008,2008,80,16,120,30
ET Carthage Loop Expansion,Energy Transfer Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2008,2008,94,32,500,42
CEGT Replacement Project,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,AR,Southwest,FERC,CP07-404,6/26/09,2008,2008,18,25,,24
Bobcat Storage Lateral,Port Barre Investments LLC,Lateral,Interstate,Completed,LA,Southwest,FERC,CP06-66/67/68,6/26/09,2008,2008,30,20,1200,"20,16,12"
Ozark Standing Rock Compressor,Ozark Gas Transmission Co,Expansion,Interstate,Completed,AR,Southwest,FERC,CP08-20,6/26/09,2008,2008,19,,100,
Cameron Interstate Pipeline,Sempra Energy Inc,Expansion,Interstate,Completed,LA,Southwest,FERC,CP05-119,6/26/09,2008,2008,115,36,2350,42
White River Header Pipeline,Questar Pipeline,Expansion,Interstate,Completed,CO,Central,FERC,CP08-398,6/26/09,2008,2008,58,6,2565,30
SONAT Cypress 2008 Phase 2,Southern Natural Gas Co,Expansion,Interstate,Completed,GA,Southeast,FERC,CP05-388,6/26/09,2008,2008,21,,100,
NNG West Leg II Expansion,Northern Natural Gas Co,Expansion,Interstate,Completed,NE,Central,FERC,CP08-97,6/26/09,2008,2008,9,12,11,"30,8"
Questar Greesewood/Meeker Expansion,Questar Pipeline,Expansion,Interstate,Completed,UT,Central,FERC,na,6/26/09,2008,2008,6,,37.5,24
Questar Greesewood/Meeker Expansion,Questar Pipeline,Expansion,Interstate,Completed,CO,Central,FERC,na,6/26/09,2008,2008,6,,37.5,24
Southern Pines Florida/Transco Line,SGR Holding Corporation,New Pipeline,Interstate,Completed,MS,Southeast,FERC,CP02-229,7/22/10,2008,2008,26,13,500,24
Southern Pines Florida/Transco Line,SGR Holding Corporation,New Pipeline,Interstate,Completed,AL,Southeast,FERC,CP02-229,7/22/10,2008,2008,26,13,500,24
South Texas Flashing/Tilden Expansion,Regency Intrastate Pipeline Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2008,2008,30,20,50,10
NNG East Leg I Expansion,Northern Natural Gas Co,Expansion,Interstate,Completed,IA,Central,FERC,CP08-95,6/26/09,2008,2008,7,8,13,"30,8,6"
Tuscola East Replacement Project,Panhandle Eastern Pipeline Co,Expansion,Interstate,Completed,IN,Midwest,FERC,CP06-428,6/26/09,2008,2008,28,15.5,250,30
Tuscola East Replacement Project,Panhandle Eastern Pipeline Co,Expansion,Interstate,Completed,OH,Midwest,FERC,CP06-428,6/26/09,2008,2008,28,15.5,250,30
Southeast Supply Header Pipeline,Southeast Supply Header LLC,New Pipeline,Interstate,Completed,LA,"Southwest,Southeast",FERC,CP07-44,6/26/09,2008,2008,421,135,570,"42,36"
Southeast Supply Header Pipeline,Southeast Supply Header LLC,New Pipeline,Interstate,Completed,AL,"Southwest,Southeast",FERC,CP07-44,6/26/09,2008,2008,421,135,570,"42,36"
Southern Pines Destin Line,SGR Holding Corporation,New Pipeline,Interstate,Completed,MS,Southeast,FERC,CP02-229,6/26/09,2008,2008,6,3,1000,24
Line 57C Lateral,Pacific Gas and Electric Co,Lateral,Intrastate,Completed,CA,Western,State,na,6/26/09,2007,2007,30,6,100,24
Eastern Shore 2007 Expansion,Eastern Shore Natural Gas,Expansion,Interstate,Completed,PA,Northeast,FERC,CP06-53,6/26/09,2007,2007,2.66666666666667,3.66666666666667,3.33333333333333,"16,10"
Eastern Shore 2007 Expansion,Eastern Shore Natural Gas,Expansion,Interstate,Completed,MD,Northeast,FERC,CP06-53,6/26/09,2007,2007,2.66666666666667,3.66666666666667,3.33333333333333,"16,10"
Eastern Shore 2007 Expansion,Eastern Shore Natural Gas,Expansion,Interstate,Completed,DE,Northeast,FERC,CP06-53,6/26/09,2007,2007,2.66666666666667,3.66666666666667,3.33333333333333,"16,10"
Bossier Loop Phase 2,Regency Intrastate Pipeline Co,Expansion,Intrastate,Completed,LA,Southwest,State,na,6/26/09,2007,2007,5,,100,
Tenneco Triple-T Extension,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,GM,Gulf of Mexico,FERC,CP05-416,6/26/09,2007,2007,22,6,200,24
NWPL Parachute Expansion,Northwest Pipeline Co,Expansion,Interstate,Completed,CO,Central,FERC,CP06-45,6/26/09,2007,2007,58,38,450,30
Paiute 2007 Expansion,Paiute Pipeline,Expansion,Interstate,Completed,NV,Western,FERC,na,6/26/09,2007,2007,5,4,9,20
ET Barnett-Texoma Expansion Phase 3,Energy Transfer Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2007,2007,360,135,700,42
PE Liberal 100-line Bi-directional Project,Panhandle Eastern Pipeline Co,Expansion,Interstate,Completed,KS,Central,FERC,CP06-50,6/26/09,2007,2007,5,,160,24
Enbridge Marquez Plant Line,Enbridge Energy Pipeline Co,Lateral,Intrastate,Completed,TX,Southwest,State,na,6/26/09,2007,2007,65,56,250,24
Tenneco Deepwater Link Project,Tennessee Gas Pipeline Co,New Pipeline,Interstate,Completed,GM,Gulf of Mexico,FERC/MMS,CP05-100,6/26/09,2007,2007,40,1,1000,"24,20"
Union Gas 2007 Expansion,Union Gas LTD,Expansion,Foreign,Completed,ON,Canada,NEB of Canada,na,6/26/09,2007,2007,80,11,488,
FGT Phase VII Phase 1,Florida Gas Trans Co,Lateral,Interstate,Completed,FL,Southeast,FERC,CP06-01,6/26/09,2007,2007,64,17,95,36
North LA Growth Project,Regency Intrastate Pipeline Co,Expansion,Intrastate,Completed,LA,Southwest,State,na,6/26/09,2007,2007,17,,200,
WB Grasslands Expansion II,Williston Basin Interstate PL,Expansion,Interstate,Completed,MT,Central,FERC,CP07-131,6/26/09,2007,2007,3,,20.5,
WB Grasslands Expansion II,Williston Basin Interstate PL,Expansion,Interstate,Completed,ND,Central,FERC,CP07-131,6/26/09,2007,2007,3,,20.5,
Northeast ConneXion-New England,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,NY,Northeast,FERC,CP05-412,6/26/09,2007,2007,55.5,,68,24
Northeast ConneXion-New England,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,MA,Northeast,FERC,CP05-412,6/26/09,2007,2007,55.5,,68,24
Rendezvous Black Fork Lateral,Rendezvous Gas Services,Lateral,Interstate,Completed,WY,Central,FERC,CP05-40,7/8/10,2007,2007,11,21,330,20
Sabine Henry Hub Expansion,Sabine Pipeline LLC,Lateral,Interstate,Completed,TX,Southwest,FERC,EM06-05,6/26/09,2007,2007,8,,25,
Sabine Henry Hub Expansion,Sabine Pipeline LLC,Lateral,Interstate,Completed,LA,Southwest,FERC,EM06-05,6/26/09,2007,2007,8,,25,
KB Pipeline Expansion,KB Pipeline Co,Lateral,Interstate,Completed,OR,Western,FERC,CP01-421,6/26/09,2007,2007,1,0,,20
SONAT North Main Loop Replacement,Southern Natural Gas Co,Expansion,Interstate,Completed,AL,Southeast,FERC,CP07-28,6/26/09,2007,2007,10,10,,
CEGT Perryville Expansion Phase I & 2,Centerpoint Energy Gas Transmission,New Pipeline,Interstate,Completed,TX,Southwest,FERC,CP06-85,6/26/09,2008,2007,212.5,86,618.5,42
CEGT Perryville Expansion Phase I & 2,Centerpoint Energy Gas Transmission,New Pipeline,Interstate,Completed,LA,Southwest,FERC,CP06-85,6/26/09,2008,2007,212.5,86,618.5,42
TransColorado Blanco-to-Meeker Expansion,TransColorado Pipeline,Expansion,Interstate,Completed,NM,"Southwest,Central",FERC,CP06-401,6/26/09,2007,2007,29,0,125,"24,16"
TransColorado Blanco-to-Meeker Expansion,TransColorado Pipeline,Expansion,Interstate,Completed,CO,"Southwest,Central",FERC,CP06-401,6/26/09,2007,2007,29,0,125,"24,16"
Transco Leidy to Long Island Expansion,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,PA,Northeast,FERC,CP06-34,6/26/09,2007,2007,54,5,33.3333333333333,
Transco Leidy to Long Island Expansion,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,NJ,Northeast,FERC,CP06-34,6/26/09,2007,2007,54,5,33.3333333333333,
Transco Leidy to Long Island Expansion,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,NY,Northeast,FERC,CP06-34,6/26/09,2007,2007,54,5,33.3333333333333,
Algonquin Cape Cod Lateral,Algonquin Gas Transmission,Lateral,Interstate,Completed,MA,Northeast,FERC,CP06-143,6/26/09,2007,2007,15,4,38,18
Algonquin Northeast Gateway LNG,Algonquin Gas Transmission,Expansion,Interstate,Completed,MA,Northeast,FERC,CP05-383,6/26/09,2007,2007,180,16,800,24
Transco Potomac Expansion,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,NC,"Southeast,Northeast",FERC,CP06-421,6/26/09,2007,2007,38,9.5,82.5,"42,30"
Transco Potomac Expansion,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,MD,"Southeast,Northeast",FERC,CP06-421,6/26/09,2007,2007,38,9.5,82.5,"42,30"
Wamsutter Expansion Project,Questar Overthrust Pipeline Co,Expansion,Interstate,Completed,WY,Central,FERC,CP06-423,6/26/09,2007,2007,202,77,750,36
Odessa-Ector Power Pipeline,Aspen Pipeline LP,Lateral,Intrastate,Completed,TX,Southwest,State,na,7/8/10,2007,2007,90,65,30,20
NGPL North Lansing Loop,Nat Gas P L Co of America,Lateral,Interstate,Completed,TX,Southwest,FERC,CP05-405,6/26/09,2007,2007,10,9,140,30
Pine Prairie Storage Laterals,Pine Prairie Storage Co,Lateral,Interstate,Completed,LA,Southwest,FERC,CP04-379,6/26/09,2007,2007,75,43,600,24
CEGT Elm Grove Supply Expansion,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,LA,Southwest,FERC,CP06-168,6/26/09,2007,2007,18,18,140,12
CrossTex LIG Extension,Crosstex Energy Services,Expansion,Intrastate,Completed,LA,Southwest,State,na,6/26/09,2007,2007,90,74,200,"24,16"
TETCO TIME II Expansion Phase 1,Texas Eastern Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP06-115,6/26/09,2007,2007,39,7.33333333333333,50,36
TETCO TIME II Expansion Phase 1,Texas Eastern Transmission,Expansion,Interstate,Completed,WV,Northeast,FERC,CP06-115,6/26/09,2007,2007,39,7.33333333333333,50,36
