Year,State,Projects,Cost,Miles,Capacity
2008,OH,2,42,18,288
2009,OH,3,1894,343,2383
2014,OH,2,75,14,600
2015,OH,5,1253,142,4762
2016,OH,5,272,108,2407
2017,OH,5,1560,240,1580
2020,OH,3,435,,1567
2006,OK,3,16,1,49
2007,OK,1,11,15,175
2009,OK,4,528,336,1874
2010,OK,1,447,,500
2006,ON,1,120,22,372
2007,ON,2,98,11,549
2008,ON,2,15,,550
2009,ON,1,9,,26
2007,OK,1,1,0,
2011,OK,1,740,168,375
2015,OK,1,54,24,175
2017,OK,1,1700,230,1000
2020,OK,2,0,155,1625
2006,PA,4,121,66,135
2007,PA,3,96,16,87
2008,PA,4,63,26,178
2009,PA,2,130,7,101
2010,PA,6,132,28,628
2011,PA,5,873,128,1118
2012,PA,10,920,156,2066
2013,PA,5,618,54,1045
2014,PA,5,640,34,1171
2015,PA,7,1064,133,2063
2016,PA,3,215,49,352
2017,PA,7,1860,325,3167
2018,PA,1,400,25,500
2020,PA,2,,115,983
2012,PR,1,50,42,186
2008,QU,1,8,2,5
2016,RI,1,0,0,68
2017,RI,1,0,0,120
2010,SC,1,,,1175
2011,SC,1,37,6,55
2012,SC,1,23,6,24
2017,SC,1,,30,283
2007,SD,1,2,2,11
2006,TN,1,8,7,10
2008,TN,1,26,31,120
2013,TN,1,,,135
2014,TN,1,114,10,61
2015,TN,4,77,28,369
2016,TN,3,9,97,333
2017,TN,1,,,53
2006,TX,13,626,552,3070
2007,TX,10,928,451,2711
2008,TX,16,1647,738,11438
2009,TX,7,1674,543,3907
2010,TX,7,1189,259,3422
2011,TX,6,212,353,2806
2012,TX,3,0,73,519
2013,TX,4,0,135,583
2014,TX,2,26,79,1175
2015,TX,2,0,12,140
2016,TX,2,,49,450
2017,TX,1,,,130
2020,TX,1,720,65,1400
2007,UT,3,169,121,378
2008,UT,1,6,,38
2009,UT,1,11,,62
2010,UT,2,44,5,140
2011,UT,2,750,178,464
2013,UT,1,15,15,62
2016,UT,1,,62,
2006,VA,2,61,39,245
2007,VA,1,28,17,88
2008,VA,4,122,43,599
2009,VA,3,309,36,374
2011,VA,1,135,28,150
2013,VA,2,89,4,388
2014,VA,3,321,113,389
2017,VA,1,,30,283
2020,VA,3,1667,293,1833
2008,VT,1,8,2,5
2006,WA,1,333,80,360
2012,WA,1,,2,84
2013,WA,1,,4,75
2020,WA,1,,68,375
2006,WI,1,24,4,84
2008,WI,5,75,73,400
2009,WI,1,350,119,537
2010,WI,1,38,9,98
2012,WI,2,47,14,101
2006,WV,1,10,8,67
2007,WV,2,88,20,225
2008,WV,3,58,27,175
2009,WV,2,55,,150
2010,WV,2,34,6,140
2012,WV,3,476,80,608
2014,WV,1,27,,148
2015,WV,1,782,,590
2016,WV,2,285,25,675
2017,WV,6,1560,240,4133
2020,WV,4,1667,293,2083
2006,WY,5,241,208,1700
2007,WY,7,569,259,2183
2008,WY,5,66,50,387
2009,WY,2,292,58,361
2010,WY,6,224,7,898
2011,WY,4,1047,321,1423
2014,WY,1,,125,64
2016,WY,1,,,1250
