Company,Revenue,Bill,Year
Sorrento Pipeline Company ,15036906,10191,2014
Southcap Pipe Line Company ,20565587,23777,2007
Southcap Pipe Line Company ,12318049,16524,2008
Southcap Pipe Line Company ,3398251,3045,2009
Southcap Pipe Line Company ,2811120,2489,2010
Southcap Pipe Line Company ,0,274,2011
"SouthTex 66 Pipeline Company, Ltd. ",5021687,5124,2007
"SouthTex 66 Pipeline Company, Ltd. ",4849525,6346,2008
"SouthTex 66 Pipeline Company, Ltd. ",5478632,6322,2009
"SouthTex 66 Pipeline Company, Ltd. ",6345007,5858,2010
"SouthTex 66 Pipeline Company, Ltd. ",6958042,7433,2011
"SouthTex 66 Pipeline Company, Ltd. ",7899599,7698,2012
"SouthTex 66 Pipeline Company, Ltd. ",7538411,4910,2013
"SouthTex 66 Pipeline Company, Ltd. ",7879054,5340,2014
SP 49 Pipeline LLC ,4365204,4140,2012
SP 49 Pipeline LLC ,5212068,3385,2013
SP 49 Pipeline LLC ,6807155,4595,2014
"Suburban Propane, L.P. ",641196,689,2007
"Suburban Propane, L.P. ",442656,589,2008
Suncor Energy ,14633686,16148,2007
Suncor Energy ,15377547,20055,2008
Suncor Energy ,12142725,13576,2009
Suncor Energy ,15680141,14626,2010
Suncor Energy ,16824233,18008,2011
Suncor Energy ,15253328,14964,2012
Suncor Energy ,19001720,12336,2013
Suncor Energy ,23186267,15668,2014
Sunoco Pipeline LP. ,104806448,105934,2007
Sunoco Pipeline LP. ,111184762,144954,2008
Sunoco Pipeline LP. ,120892886,139110,2009
Sunoco Pipeline LP. ,135052707,124197,2010
Sunoco Pipeline LP. ,126544322,137105,2011
Sunoco Pipeline LP. ,119655966,117239,2012
Sunoco Pipeline LP. ,169254186,109740,2013
Sunoco Pipeline LP. ,229815496,154979,2014
Targa NGL Pipeline Company LLC ,3238306,3546,2007
Targa NGL Pipeline Company LLC ,2551469,3370,2008
Targa NGL Pipeline Company LLC ,4467551,5287,2009
Targa NGL Pipeline Company LLC ,4028340,3611,2010
Targa NGL Pipeline Company LLC ,4654630,4952,2011
Targa NGL Pipeline Company LLC ,4130290,4055,2012
Targa NGL Pipeline Company LLC ,6019612,3902,2013
Targa NGL Pipeline Company LLC ,3466503,2393,2014
TE Products Company ,247996432,262803,2007
TE Products Company ,269176057,350634,2008
TE Products Company ,255283843,290512,2009
TE Products Company ,270018150,246833,2010
"TEPPCO Crude Pipeline, LLC ",17781127,18575,2007
"TEPPCO Crude Pipeline, LLC ",16859393,22077,2008
"TEPPCO Crude Pipeline, LLC ",19093187,22036,2009
"TEPPCO Crude Pipeline, LLC ",22513327,20819,2010
Tesoro High Plains Pipeline Company ,7991083,8533,2007
Tesoro High Plains Pipeline Company ,8327561,10864,2008
Tesoro High Plains Pipeline Company ,5830856,6431,2009
Tesoro High Plains Pipeline Company ,2627692,2037,2010
Tesoro High Plains Pipeline Company ,2030278,2245,2011
Tesoro High Plains Pipeline Company ,1621526,1598,2012
Tesoro High Plains Pipeline Company ,3223553,2083,2013
Tesoro High Plains Pipeline Company ,8280040,5539,2014
The Premcor Pipeline Company ,12613121,10323,2007
The Premcor Pipeline Company ,12782390,16693,2008
The Premcor Pipeline Company ,1630978,815,2009
The Premcor Pipeline Company ,4356232,4253,2010
The Premcor Pipeline Company ,285793,704,2011
The Premcor Pipeline Company ,17243332,16361,2012
The Premcor Pipeline Company ,30127817,19500,2013
The Premcor Pipeline Company ,30127817,20443,2014
The Shamrock Pipe Line Corporation ,6244745,5923,2012
The Shamrock Pipe Line Corporation ,7954193,5162,2013
The Shamrock Pipe Line Corporation ,7954193,5397,2014
"Total Petrochemicals Pipeline USA, Inc. ",1359415,2233,2007
"Total Petrochemicals Pipeline USA, Inc. ",1345139,1758,2008
"Total Petrochemicals Pipeline USA, Inc. ",1334641,1524,2009
"Total Petrochemicals Pipeline USA, Inc. ",1376460,1255,2010
"Total Petrochemicals Pipeline USA, Inc. ",1225569,1335,2011
"Total Petrochemicals Pipeline USA, Inc. ",984465,970,2012
"Total Petrochemicals Pipeline USA, Inc. ",1005741,655,2013
"Total Petrochemicals Pipeline USA, Inc. ",1005741,682,2014
Trans Mountain Pipeline ,11805690,15343,2008
Trans Mountain Pipeline ,12776418,14697,2009
Trans Mountain Pipeline ,11463075,10267,2010
Trans Mountain Pipeline ,14507383,15329,2011
Trans Mountain Pipeline ,15713377,15332,2012
Trans Mountain Pipeline ,16656910,10834,2013
Trans Mountain Pipeline ,17475836,11845,2014
"TransCanada Keytone Pipeline, LP ",552276571,523755,2012
"TransCanada Keytone Pipeline, LP ",667867935,406666,2013
"TransCanada Keytone Pipeline, LP ",698716773,471000,2014
"Tri-States NGL Pipeline, LLC ",16529789,17020,2007
"Tri-States NGL Pipeline, LLC ",16228436,21220,2008
"Tri-States NGL Pipeline, LLC ",14547126,16471,2009
"Tri-States NGL Pipeline, LLC ",20111335,18871,2010
"Tri-States NGL Pipeline, LLC ",37411044,38608,2011
"Tri-States NGL Pipeline, LLC ",27989182,27657,2012
"Tri-States NGL Pipeline, LLC ",24009616,15660,2013
"Tri-States NGL Pipeline, LLC ",20559433,14006,2014
UNEV Pipeline ,16261534,10447,2013
UNEV Pipeline ,23923509,16111,2014
Unocal Pipeline Company ,3236060,4782,2007
Unocal Pipeline Company ,2494516,3297,2008
Unocal Pipeline Company ,2346395,2668,2009
Unocal Pipeline Company ,634018,389,2010
Unocal Pipeline Company ,3822735,3808,2011
Unocal Pipeline Company ,15461917,14776,2012
Unocal Pipeline Company ,10003616,6557,2013
Unocal Pipeline Company ,58947,198,2014
"Valero MKS Logistics, LLC ",6469407,6581,2010
"Valero MKS Logistics, LLC ",8293249,8754,2011
"Valero MKS Logistics, LLC ",8442984,8254,2012
"Valero MKS Logistics, LLC ",9784396,6356,2013
"Valero MKS Logistics, LLC ",9784396,6640,2014
Valero Terminaling and Distribution Comp ,557887,732,2008
Valero Terminaling and Distribution Comp ,1024989,1215,2009
Valero Terminaling and Distribution Comp ,3997018,3954,2010
Valero Terminaling and Distribution Comp ,1031220,1399,2011
Valero Terminaling and Distribution Comp ,18593567,17665,2012
Valero Terminaling and Distribution Comp ,18800885,12234,2013
Valero Terminaling and Distribution Comp ,18800885,12756,2014
West Shore Pipe Line Company ,39695220,42315,2007
West Shore Pipe Line Company ,45108138,58663,2008
West Shore Pipe Line Company ,42556316,48406,2009
West Shore Pipe Line Company ,43606264,39716,2010
West Shore Pipe Line Company ,45487615,48805,2011
West Shore Pipe Line Company ,47320979,46230,2012
West Shore Pipe Line Company ,47213488,30729,2013
West Shore Pipe Line Company ,49902960,33820,2014
West Texas Gulf Pipe Line Co. ,22327077,22999,2007
West Texas Gulf Pipe Line Co. ,26131867,33950,2008
West Texas Gulf Pipe Line Co. ,29418446,33938,2009
West Texas Gulf Pipe Line Co. ,30999020,28325,2010
West Texas Gulf Pipe Line Co. ,29907833,32314,2011
West Texas Gulf Pipe Line Co. ,30919858,30212,2012
West Texas Gulf Pipe Line Co. ,32197418,20944,2013
West Texas Gulf Pipe Line Co. ,44006571,29674,2014
West Texas LPG Pipeline Linited Partners ,11964430,12869,2007
West Texas LPG Pipeline Linited Partners ,11941736,15605,2008
West Texas LPG Pipeline Linited Partners ,11861792,13553,2009
West Texas LPG Pipeline Linited Partners ,12839505,11767,2010
West Texas LPG Pipeline Linited Partners ,14237637,15198,2011
West Texas LPG Pipeline Linited Partners ,15172800,14811,2012
West Texas LPG Pipeline Linited Partners ,17281860,11230,2013
West Texas LPG Pipeline Linited Partners ,17393375,11801,2014
WesTTex 66 Pipeline Company ,6019268,6400,2007
WesTTex 66 Pipeline Company ,6697094,8716,2008
WesTTex 66 Pipeline Company ,6624609,7566,2009
WesTTex 66 Pipeline Company ,7092309,6492,2010
WesTTex 66 Pipeline Company ,6206856,6769,2011
WesTTex 66 Pipeline Company ,5849789,5733,2012
WesTTex 66 Pipeline Company ,5685641,3702,2013
WesTTex 66 Pipeline Company ,7087202,4785,2014
White Cliffs Pipeline LLC ,49250769,48256,2011
White Cliffs Pipeline LLC ,60999683,59313,2012
White Cliffs Pipeline LLC ,98073759,63519,2013
White Cliffs Pipeline LLC ,120143581,81172,2014
"WILPRISE Pipeline Co., LLC ",3567338,3719,2007
"WILPRISE Pipeline Co., LLC ",3284694,4307,2008
"WILPRISE Pipeline Co., LLC ",3269827,3737,2009
"WILPRISE Pipeline Co., LLC ",4958634,4688,2010
"WILPRISE Pipeline Co., LLC ",5369844,5744,2011
"WILPRISE Pipeline Co., LLC ",3961383,3916,2012
"WILPRISE Pipeline Co., LLC ",4065554,2645,2013
"WILPRISE Pipeline Co., LLC ",4267044,2893,2014
Wolverine Pipe Line Company ,47585182,51405,2007
Wolverine Pipe Line Company ,50154774,65404,2008
Wolverine Pipe Line Company ,49299148,56275,2009
Wolverine Pipe Line Company ,54816925,50386,2010
Wolverine Pipe Line Company ,56619142,60798,2011
Wolverine Pipe Line Company ,58171359,56851,2012
Wolverine Pipe Line Company ,66051774,42923,2013
Wolverine Pipe Line Company ,65485504,44446,2014
Wood River Pipe Lines LLC ,37568434,39919,2007
Wood River Pipe Lines LLC ,40780029,53121,2008
Wood River Pipe Lines LLC ,35281989,39814,2009
Wood River Pipe Lines LLC ,34517804,31265,2010
Wood River Pipe Lines LLC ,33713083,36385,2011
Wood River Pipe Lines LLC ,33825650,33081,2012
Wood River Pipe Lines LLC ,39595052,25723,2013
Wood River Pipe Lines LLC ,40611547,27541,2014
Yellowstone Pipe Line Company ,4928752,5354,2007
Yellowstone Pipe Line Company ,4974626,6498,2008
Yellowstone Pipe Line Company ,5888100,6817,2009
Yellowstone Pipe Line Company ,6216897,5681,2010
Yellowstone Pipe Line Company ,6160937,6641,2011
Yellowstone Pipe Line Company ,6032261,5904,2012
Yellowstone Pipe Line Company ,6489350,4219,2013
Yellowstone Pipe Line Company ,7522325,5089,2014
