lon,lat,Number,Name,Issued,Expiration,Capacity,Company,Waterway,State
-95.1536327,30.7592788,12632,LAKE LIVINGSTON,8/26/2011,7/31/1961,24000,"EAST TEXAS ELECTRIC COOP, INC.",LAKE LIVINGSTON & TRINITY RIVER TX,TX
-121.8036192,47.9273554,2157,HENRY M JACKSON (SULTAN),9/2/2011,8/31/1956,111800,PUD NO 1 OF SNOHOMISH COUNTY (WA),SULTAN RIVER WA,WA
-76.1801153,44.279912,2851,NATURAL DAM,9/6/2011,5/1/1952,1020,CELLU TISSUE CORPORATION,ST. LAWRENCE RIVER NY,NY
-83.3721328,35.1730629,2603,FRANKLIN,9/7/2011,8/31/1941,1040,"DUKE ENERGY CAROLINAS, LLC.",LITTLE TENNESSEE RIVER NC,NC
-83.8830665,35.0577287,2619,MISSION,10/25/2011,9/30/1941,1800,"DUKE ENERGY CAROLINAS, LLC.",HIWASSEE RIVER NC,NC
-84.1277717,34.0250221,12492,MINER SHOAL WATERPOWER,12/8/2011,11/30/1941,1200,"HA-BEST, INC.",SOQUE RIVER GA,GA
-89.4571567,40.1766202,13351,MARSEILLES LOCK & DAM,12/15/2011,11/30/1961,10260,MARSEILLES LAND & WATER COMPANY,ILLINOIS RIVER IL,IL
-80.590641,37.1377082,739,CLAYTOR,12/27/2011,11/30/1941,75000,APPALACHIAN POWER CO (VA),NEW RIVER VA,VA
-112.2057719,43.1668244,13829,CREASEY,1/5/2012,12/31/1952,20,DAVID CREASEY,LINCOLN CREEK ID,ID
-76.1801153,44.279912,2850,EMERYVILLE,1/6/2012,5/31/1952,3481,HAMPSHIRE PAPER CO INC (NY),ST. LAWRENCE RIVER NY,NY
-112.9549303,47.6688158,12478,GIBSON DAM,1/12/2012,12/31/1962,15000,"GIBSON DAM HYDROELECTRIC CO.,LLC","NORTH FORK, SUN RIVER MT",MT
-73.8124984,40.8048011,12611,ROOSEVELT ISLAND TIDAL ENERGY,1/23/2012,12/31/2022,1050,"VERDANT POWER, LLC.",EAST RIVER NY,NY
-82.5248218,37.1642249,12740,FLANNAGAN,1/27/2012,12/31/1962,1800,JORDAN HYDROELECTRIC L.P.,POUND RIVER VA,VA
-78.7902053,34.7866079,2692,NANTAHALA,2/8/2012,1/31/1942,42000,"DUKE ENERGY CAROLINAS, LLC.",WHITE OAK CREEK NC,NC
-67.1278145,44.8825469,12711,COBSCOOK BAY TIDAL ENERGY,2/27/2012,1/31/2020,300,"ORPC MAINE, LLC.",COBSCOOK RIVER ME,ME
-79.8925295,37.8683423,12737,GATHRIGHT,3/13/2012,2/28/1962,3700,JORDAN HYDROELECTRIC L.P.,JACKSON RIVER VA,VA
-72.7813809,43.1265352,13368,TOWNSHEND DAM,3/29/2012,2/28/1962,924,"BLUE HERON HYDRO, LLC.",WEST RIVER VT,VT
-72.7813809,43.1265352,13226,BALL MOUNTAIN DAM,4/12/2012,3/31/1962,2196,"BLUE HERON HYDRO, LLC.",WEST RIVER VT,VT
-76.8951551,38.2296559,12715,JENNINGS RANDOLPH,4/30/2012,3/31/1962,14000,"FAIRLAWN HYDROELECTRIC CO,.LLC",POTOMAC RIVER WV,WV
-80.0751442,35.3952176,12642,W. KERR SCOTT,7/17/2012,6/30/1952,4000,"WILKESBORO HYDROPOWER, LLC.",YADKIN RIVER NC,NC
-119.4179324,36.778261,2479,FRENCH MEADOWS T. L.,7/18/2012,2/28/1942,0,PACIFIC GAS AND ELECTRIC CO (C, CA,CA
-82.9357482,34.3531261,9988,JOHN P. KING MILL,8/3/2012,10/31/1955,2125,AUGUSTA CANAL AUTHORITY,SAVANAH RIVER GA,GA
-123.9686372,45.2076572,12713,REEDSPORT OPT WAVE PARK,8/13/2012,7/31/1947,1500,"REEDSPORT OPT WAVE PARK, LLC.",PACIFIC OCEAN OR,OR
-73.790959,42.2528649,13,GREEN ISLAND,8/17/2012,7/31/1962,4800,GREEN ISLAND POWER AUTHORITY,HUDSON R NY,NY
-119.4179324,36.778261,2784,ROLLINS T. L.,8/27/2012,4/30/1943,0,PACIFIC GAS AND ELECTRIC CO (C, CA,CA
-71.9331014,42.6080796,13237,CROCKER,9/5/2012,8/31/1952,145,"WHITMAN RIVER DAM, INC.",WHITMAN RIVER MA,MA
-116.4885175,33.8195368,176,ESCONDIDO,9/25/2012,6/24/1974,1500,ESCONDIDO CITY OF (CA),SAN LUIS REY R CA,CA
-94.6340585,34.0848393,12470,BROKEN BOW RE-REGULATION DAM,9/27/2012,8/31/1962,4000,CITY OF BROKEN BOW,MOUNTAIN FORK RIVER OK,OK
-117.050991,46.399883,503,SWAN FALLS,9/28/2012,8/31/1942,25000,IDAHO POWER CO (ID),SNAKE RIVER ID,ID
-150.5388368,64.9568737,13305,Whitestone,10/19/2012,9/30/2017,100,WHITESTONE POWER & COMMUNICATIONS,TANANA RIVER AK,AK
-123.8018909,46.2453111,2149,WELLS,11/9/2012,10/31/1952,774250,PUD NO 1 OF DOUGLAS COUNTY (WA),COLUMBIA RIVER WA,WA
-75.070196,44.1828405,2713,OSWEGATCHIE RIVER,11/26/2012,12/31/1952,28560,"ERIE BOULEVARD HYDROPOWER, L.P.",OSWEGATCHIE R NY,NY
-91.1654084,43.8673596,13417,ANGELO DAM,12/28/2012,11/30/1952,205,WESTERN TECHNICAL COLLEGE,LA CROSSE RIVER WI,WI
-135.3810744,58.0573919,14066,GARTINA FALLS,1/29/2013,12/31/1962,450,INSIDE PASSAGE ELECTRIC COOPERATIVE,GARTINA CREEK AK,AK
-117.3788024,48.8542914,2144,BOUNDARY,3/20/2013,2/28/1955,1003253,SEATTLE CITY OF (WA),PEND OREILLE RIVER WA,WA
-73.6864106,42.4116613,2696,STUYVESANT FALLS,4/5/2013,3/31/1943,4320,ALBANY ENGINEERING CORP,KINDERHOOK CR NY,NY
-114.7091287,42.9384718,14154,LITTLE WOOD RIVER RANCH ll,4/16/2013,3/31/1963,1230,WILLIAM ARKOOSH,LITTLE WOOD RIVER ID,ID
-73.2834013,42.9168715,14308,VERMONT TISSUE MILL,4/25/2013,3/31/1943,360,"CARBON ZERO, LLC",WALLOOMSAC RIVER VT,VT
-75.0521721,40.9646482,2309,YARDS CREEK PUMPED STORAGE,5/9/2013,4/30/1953,364500,JERSEY CENTRAL POWER&LIGHT CO (NJ),YARDS CREEK NJ,NJ
-85.8500423,33.3815023,2146,COOSA RIVER,6/20/2013,5/31/1943,960900,ALABAMA POWER CO (AL),COOSA RIVER GA,GA
