Company,Revenue,Bill,Year
"Ozark Gas Transmission, L.L.C. ",193005085,361332,2010
"Ozark Gas Transmission, L.L.C. ",162003642,293123,2011
"Ozark Gas Transmission, L.L.C. ",83099463,154014,2012
"Ozark Gas Transmission, L.L.C. ",68617264,77242,2013
"Ozark Gas Transmission, L.L.C. ",54072724,75421,2014
Paiute Pipeline Company ,39825305,75118,2007
Paiute Pipeline Company ,40943879,70233,2008
Paiute Pipeline Company ,41043669,76021,2009
Paiute Pipeline Company ,36921721,69637,2010
Paiute Pipeline Company ,36235231,65541,2011
Paiute Pipeline Company ,32135668,59305,2012
Paiute Pipeline Company ,35278963,42355,2013
Paiute Pipeline Company ,36641022,51241,2014
"Panhandle Eastern Pipe Line Company, LP ",579445821,1114050,2007
"Panhandle Eastern Pipe Line Company, LP ",661707296,1137961,2008
"Panhandle Eastern Pipe Line Company, LP ",701615732,1300746,2009
"Panhandle Eastern Pipe Line Company, LP ",675615592,1271384,2010
"Panhandle Eastern Pipe Line Company, LP ",562643436,1018042,2011
"Panhandle Eastern Pipe Line Company, LP ",564047855,1040235,2012
"Panhandle Eastern Pipe Line Company, LP ",581925757,690169,2013
"Panhandle Eastern Pipe Line Company, LP ",612632149,856831,2014
"Panther Interstate Pipeline Energy, LLC ",12410432,23873,2007
"Panther Interstate Pipeline Energy, LLC ",12579206,21569,2008
"Panther Interstate Pipeline Energy, LLC ",4033789,7200,2009
"Panther Interstate Pipeline Energy, LLC ",8432310,15594,2010
"Panther Interstate Pipeline Energy, LLC ",2601372,4724,2011
"Panther Interstate Pipeline Energy, LLC ",4473260,8232,2012
"Panther Interstate Pipeline Energy, LLC ",2073605,1845,2013
"Panther Interstate Pipeline Energy, LLC ",609173,834,2014
Paulsboro Natural Gas Pipeline Company L ,7533391,13628,2011
Paulsboro Natural Gas Pipeline Company L ,8498268,15664,2012
Paulsboro Natural Gas Pipeline Company L ,8608004,10171,2013
Paulsboro Natural Gas Pipeline Company L ,11620991,16283,2014
"Petal Gas Storage, LLC ",70721330,99158,2014
"Petal Gas Storage, LLC ",117791497,225360,2007
"Petal Gas Storage, LLC ",154232806,266022,2008
"Petal Gas Storage, LLC ",123614010,227978,2009
"Petal Gas Storage, LLC ",77422611,148208,2010
"Petal Gas Storage, LLC ",41965435,76024,2011
"Petal Gas Storage, LLC ",38613172,71244,2012
"Petal Gas Storage, LLC ",46431810,56663,2013
"Pine Needle LNG Company, LLC ",1434362,2677,2007
"Pine Needle LNG Company, LLC ",4253882,7419,2008
"Pine Needle LNG Company, LLC ",6915028,12893,2009
"Pine Needle LNG Company, LLC ",6515943,12270,2010
"Pine Needle LNG Company, LLC ",7924343,14328,2011
"Pine Needle LNG Company, LLC ",5218067,9649,2012
"Pine Needle LNG Company, LLC ",1042451,187,2013
"Pine Needle LNG Company, LLC ",3311977,4658,2014
"Pine Prairie Energy Center, LLC ",19640730,35458,2011
"Pine Prairie Energy Center, LLC ",24299195,44770,2012
"Pine Prairie Energy Center, LLC ",39981148,51023,2013
"Pine Prairie Energy Center, LLC ",58627396,82184,2014
Point Arguello Natural Gas Line Company ,492783,925,2007
Point Arguello Natural Gas Line Company ,367943,647,2008
Point Arguello Natural Gas Line Company ,504401,939,2009
Point Arguello Natural Gas Line Company ,586981,1099,2010
Point Arguello Natural Gas Line Company ,332819,603,2011
Point Arguello Natural Gas Line Company ,301430,556,2012
Point Arguello Natural Gas Line Company ,892,-74,2013
Point Arguello Natural Gas Line Company ,600290,846,2014
Portland Natural Gas Transmission ,51475797,99247,2007
Portland Natural Gas Transmission ,57671609,99136,2008
Portland Natural Gas Transmission ,49150175,90762,2009
Portland Natural Gas Transmission ,36612522,69545,2010
Portland Natural Gas Transmission ,36074337,65250,2011
Portland Natural Gas Transmission ,36138135,66647,2012
Portland Natural Gas Transmission ,51910421,65103,2013
Portland Natural Gas Transmission ,67686632,94815,2014
Post Rock KPC Pipelines ,12806533,23152,2011
Post Rock KPC Pipelines ,14293853,26347,2012
Quest Pipelines ,7718102,13102,2008
Quest Pipelines ,9449971,17558,2009
Quest Pipelines ,9522781,17895,2010
Questar Overthrust Pipeline Company ,140084900,268402,2007
Questar Overthrust Pipeline Company ,133944092,229315,2008
Questar Overthrust Pipeline Company ,342288350,640569,2009
Questar Overthrust Pipeline Company ,163749052,308191,2010
Questar Overthrust Pipeline Company ,154007892,278589,2011
Questar Overthrust Pipeline Company ,220465948,405958,2012
Questar Overthrust Pipeline Company ,368283685,470837,2013
Questar Overthrust Pipeline Company ,333017941,465143,2014
Questar Pipeline Co. ,409695992,785793,2007
Questar Pipeline Co. ,443058996,760959,2008
Questar Pipeline Co. ,457680085,848144,2009
Questar Pipeline Co. ,432371189,814147,2010
Questar Pipeline Co. ,438525625,793146,2011
Questar Pipeline Co. ,421060379,776711,2012
Questar Pipeline Co. ,402486486,469634,2013
Questar Pipeline Co. ,404287263,565219,2014
Questar Southern Trails Pipeline Company ,28342851,54458,2007
Questar Southern Trails Pipeline Company ,27897626,47799,2008
Questar Southern Trails Pipeline Company ,27891803,51659,2009
Questar Southern Trails Pipeline Company ,28288572,53147,2010
Questar Southern Trails Pipeline Company ,28059274,50752,2011
Questar Southern Trails Pipeline Company ,25453100,46968,2012
Questar Southern Trails Pipeline Company ,28165582,33866,2013
Questar Southern Trails Pipeline Company ,25865487,36132,2014
Raton Gas Transmission Co. ,1079334,2078,2007
Raton Gas Transmission Co. ,1192611,2049,2008
Raton Gas Transmission Co. ,1124748,2081,2009
Raton Gas Transmission Co. ,1060458,1997,2010
Raton Gas Transmission Co. ,1202666,2174,2011
Raton Gas Transmission Co. ,1062642,1962,2012
Raton Gas Transmission Co. ,986579,1144,2013
Raton Gas Transmission Co. ,1109080,1552,2014
Rockies Express Pipeline LLC ,721840228,1347931,2010
Rockies Express Pipeline LLC ,1026535885,1855677,2011
Rockies Express Pipeline LLC ,836408839,1544377,2012
Rockies Express Pipeline LLC ,822586831,965842,2013
Rockies Express Pipeline LLC ,768032886,1073069,2014
"Ruby Pipeline, LLC ",338734372,483642,2013
"Ruby Pipeline, LLC ",309889687,432886,2014
"Sabine Pipe Line, LLC ",77069602,107577,2014
"Sabine Pipe Line, LLC ",507481846,965098,2007
"Sabine Pipe Line, LLC ",268060980,460132,2008
"Sabine Pipe Line, LLC ",250187335,462812,2009
"Sabine Pipe Line, LLC ",215912552,407818,2010
"Sabine Pipe Line, LLC ",147527033,267065,2011
"Sabine Pipe Line, LLC ",119979917,221538,2012
"Sabine Pipe Line, LLC ",91095105,100136,2013
Saltville Gas Storage Company LLC ,10152637,19193,2007
Saltville Gas Storage Company LLC ,10051909,18936,2009
Saltville Gas Storage Company LLC ,15439126,19272,2013
Saltville Gas Storage Company LLC ,17141557,23984,2014
"Sea Robin Pipeline Company, LLC ",114654918,221259,2007
"Sea Robin Pipeline Company, LLC ",144483856,249012,2008
"Sea Robin Pipeline Company, LLC ",126292872,233333,2009
"Sea Robin Pipeline Company, LLC ",132577925,248825,2010
"Sea Robin Pipeline Company, LLC ",172141115,311220,2011
"Sea Robin Pipeline Company, LLC ",112576232,208191,2012
"Sea Robin Pipeline Company, LLC ",111183338,130665,2013
"Sea Robin Pipeline Company, LLC ",71483976,99462,2014
"SG Resources Mississippi, LLC ",25605354,35681,2014
"SG Resources Mississippi, LLC ",16979978,30654,2011
"SG Resources Mississippi, LLC ",28462222,52381,2012
"SG Resources Mississippi, LLC ",35406690,43454,2013
"Southeast Supply Header, LLC ",284794185,518727,2010
"Southeast Supply Header, LLC ",302013833,546198,2011
"Southeast Supply Header, LLC ",323491936,596396,2012
"Southeast Supply Header, LLC ",358808477,431610,2013
"Southeast Supply Header, LLC ",332858778,465030,2014
Southern LNG Inc. ,20870269,28297,2014
Southern LNG Inc. ,149612954,287044,2007
Southern LNG Inc. ,178486758,307252,2008
Southern LNG Inc. ,152998370,282564,2009
Southern LNG Inc. ,168463164,315740,2010
Southern LNG Inc. ,137999825,249705,2011
Southern LNG Inc. ,105693530,195236,2012
Southern LNG Inc. ,94730487,108891,2013
Southern Natural Gas Company ,628706976,1208594,2007
Southern Natural Gas Company ,680177309,1168224,2008
Southern Natural Gas Company ,663011373,1223722,2009
Southern Natural Gas Company ,801162919,1505550,2010
Southern Natural Gas Company ,928635416,1679204,2011
Southern Natural Gas Company ,853462681,1574725,2012
Southern Natural Gas Company ,948907693,1141948,2013
Southern Natural Gas Company ,865700680,1209268,2014
"Southern Star Central Gas Pipeline, Inc. ",301773892,579460,2007
"Southern Star Central Gas Pipeline, Inc. ",318397121,546518,2008
"Southern Star Central Gas Pipeline, Inc. ",336330259,623494,2009
"Southern Star Central Gas Pipeline, Inc. ",329864901,620383,2010
"Southern Star Central Gas Pipeline, Inc. ",326853287,591193,2011
"Southern Star Central Gas Pipeline, Inc. ",303083870,559193,2012
"Southern Star Central Gas Pipeline, Inc. ",303743417,358079,2013
"Southern Star Central Gas Pipeline, Inc. ",323929352,453098,2014
Southwest Gas Storage Co/Panhandle Easte ,30571726,58899,2007
Southwest Gas Storage Co/Panhandle Easte ,30571726,52403,2008
Southwest Gas Storage Co/Panhandle Easte ,30343118,56083,2009
Southwest Gas Storage Co/Panhandle Easte ,36856785,68896,2010
Southwest Gas Storage Co/Panhandle Easte ,39734581,71859,2011
Southwest Gas Storage Co/Panhandle Easte ,36363446,67095,2012
Southwest Gas Storage Co/Panhandle Easte ,33554896,38839,2013
Southwest Gas Storage Co/Panhandle Easte ,39742111,55634,2014
Southwest Gas Transmission Co. ,30900367,58299,2007
Southwest Gas Transmission Co. ,31097471,53313,2008
Southwest Gas Transmission Co. ,32260466,59788,2009
Southwest Gas Transmission Co. ,28347993,53509,2010
Southwest Gas Transmission Co. ,19201006,34760,2011
Southwest Gas Transmission Co. ,12207026,22580,2012
Southwest Gas Transmission Co. ,510435,-2316,2013
Southwest Gas Transmission Co. ,3106696,4374,2014
"Steckman Ridge, LP ",21024222,37956,2011
"Steckman Ridge, LP ",33801536,41728,2013
"Steckman Ridge, LP ",44965670,62995,2014
Steuben Gas Storage ,2926706,5691,2007
Steuben Gas Storage ,5595791,9712,2008
Steuben Gas Storage ,6716142,12475,2009
Steuben Gas Storage ,4803276,9140,2010
Steuben Gas Storage ,5053784,9140,2011
Steuben Gas Storage ,4426843,8170,2012
Steuben Gas Storage ,3962618,4553,2013
Stingray Pipeline Company LLC ,155164095,297597,2007
Stingray Pipeline Company LLC ,154683301,265121,2008
Stingray Pipeline Company LLC ,107647699,197885,2009
Stingray Pipeline Company LLC ,148428612,276611,2010
Stingray Pipeline Company LLC ,137828521,249328,2011
Stingray Pipeline Company LLC ,80128070,148331,2012
Stingray Pipeline Company LLC ,66922130,75563,2013
Stingray Pipeline Company LLC ,49471200,68953,2014
T.W. Phillips Pipeline Corp ,1268388,2353,2012
T.W. Phillips Pipeline Corp ,932772,1016,2013
Tallgrass Interstate Gas Transmission ,138280470,157450,2013
Tallgrass Interstate Gas Transmission ,123244827,172118,2014
Tennessee Gas Pipeline Co. ,1652834114,3116743,2007
Tennessee Gas Pipeline Co. ,1781280016,3059114,2008
Tennessee Gas Pipeline Co. ,1779880778,3296517,2009
Tennessee Gas Pipeline Co. ,1826198665,3429786,2010
Tennessee Gas Pipeline Co. ,1952656221,3530886,2011
Tennessee Gas Pipeline Co. ,2287588885,4214433,2012
Tennessee Gas Pipeline Co. ,2626029797,3178789,2013
Tennessee Gas Pipeline Co. ,2584794651,3613080,2014
"Texas Eastern Transmission, L.P. ",1090790976,2097632,2007
"Texas Eastern Transmission, L.P. ",1291648690,2223119,2008
"Texas Eastern Transmission, L.P. ",1310163885,2427175,2009
"Texas Eastern Transmission, L.P. ",1400810620,2627658,2010
"Texas Eastern Transmission, L.P. ",1355554470,2451962,2011
"Texas Eastern Transmission, L.P. ",1660500619,3060854,2012
"Texas Eastern Transmission, L.P. ",1588502546,1853842,2013
"Texas Eastern Transmission, L.P. ",1812067318,2536011,2014
Texas Gas Transmission LLC ,722850146,1388485,2007
Texas Gas Transmission LLC ,784211502,1346998,2008
Texas Gas Transmission LLC ,867664426,1609669,2009
Texas Gas Transmission LLC ,1006906217,1884458,2010
Texas Gas Transmission LLC ,1113410774,2013480,2011
Texas Gas Transmission LLC ,1156487447,2132446,2012
Texas Gas Transmission LLC ,1052069576,1213653,2013
Texas Gas Transmission LLC ,1093069082,1528610,2014
Trailblazer Pipeline Company ,310077445,595626,2007
Trailblazer Pipeline Company ,319077672,547339,2008
Trailblazer Pipeline Company ,324679518,601524,2009
Trailblazer Pipeline Company ,312894753,588795,2010
Trailblazer Pipeline Company ,307095095,555466,2011
Trailblazer Pipeline Company ,261517144,482742,2012
Trailblazer Pipeline Company ,265585518,313967,2013
Trailblazer Pipeline Company ,258398503,361158,2014
Trans-Union Interstate Pipeline LLC ,52659933,96613,2012
Trans-Union Interstate Pipeline LLC ,72933689,90998,2013
Trans-Union Interstate Pipeline LLC ,46790727,65102,2014
TransColorado Gas Transmission Company ,314466415,601978,2007
TransColorado Gas Transmission Company ,259791958,442831,2008
TransColorado Gas Transmission Company ,263592204,488326,2009
TransColorado Gas Transmission Company ,224957212,425071,2010
TransColorado Gas Transmission Company ,173895446,314700,2011
TransColorado Gas Transmission Company ,153969279,284150,2012
TransColorado Gas Transmission Company ,145823431,169798,2013
TransColorado Gas Transmission Company ,111268398,155144,2014
Transcontinental Gas Pipe Line ,1858938399,3564404,2007
Transcontinental Gas Pipe Line ,1869107547,3206283,2008
Transcontinental Gas Pipe Line ,1868597342,3460861,2009
Transcontinental Gas Pipe Line ,1879641870,3532288,2010
Transcontinental Gas Pipe Line ,2104056703,3804811,2011
Transcontinental Gas Pipe Line ,2361027591,4351874,2012
Transcontinental Gas Pipe Line ,2743006069,3327488,2013
Transcontinental Gas Pipe Line ,3120094787,4366418,2014
"Transwestern Pipeline Company, LLC ",458544362,884891,2007
"Transwestern Pipeline Company, LLC ",645727938,1115327,2008
"Transwestern Pipeline Company, LLC ",650417365,1204803,2009
"Transwestern Pipeline Company, LLC ",606551362,1142611,2010
"Transwestern Pipeline Company, LLC ",585837331,1059681,2011
"Transwestern Pipeline Company, LLC ",554166783,1022330,2012
"Transwestern Pipeline Company, LLC ",543961033,638428,2013
"Transwestern Pipeline Company, LLC ",481431971,672303,2014
Tres Palacios Gas Storage LLC ,44379634,80120,2011
Tres Palacios Gas Storage LLC ,36205903,66851,2012
Tres Palacios Gas Storage LLC ,35707263,40997,2013
Tres Palacios Gas Storage LLC ,31702709,44272,2014
"Trunkline Gas Company, LLC ",486106819,932990,2007
"Trunkline Gas Company, LLC ",486106819,833235,2008
"Trunkline Gas Company, LLC ",643316079,1191362,2009
"Trunkline Gas Company, LLC ",682576548,1280671,2010
"Trunkline Gas Company, LLC ",664091423,1201213,2011
"Trunkline Gas Company, LLC ",743472249,1370391,2012
"Trunkline Gas Company, LLC ",709743237,827908,2013
"Trunkline Gas Company, LLC ",722335160,1009983,2014
"Trunkline LNG Company, LLC ",1235071,5448,2007
"Trunkline LNG Company, LLC ",261392896,453133,2008
"Trunkline LNG Company, LLC ",9130196,8910,2009
"Trunkline LNG Company, LLC ",34826299,63964,2010
"Trunkline LNG Company, LLC ",37250519,67368,2011
"Trunkline LNG Company, LLC ",5573509,10582,2012
"Trunkline LNG Company, LLC ",3475365,3572,2013
Tuscarora Gas Transmission Company ,28618882,54893,2007
Tuscarora Gas Transmission Company ,28841109,49447,2008
Tuscarora Gas Transmission Company ,30932539,57357,2009
Tuscarora Gas Transmission Company ,34932969,65426,2010
Tuscarora Gas Transmission Company ,35555400,64307,2011
Tuscarora Gas Transmission Company ,34121471,62943,2012
Tuscarora Gas Transmission Company ,37484187,45009,2013
Tuscarora Gas Transmission Company ,39698352,55525,2014
UGI Storage Company ,26400593,37695,2013
UGI Storage Company ,34585409,48448,2014
"USG Pipeline Company, LLC ",510425,936,2012
"USG Pipeline Company, LLC ",2257093,3096,2013
"USG Pipeline Company, LLC ",2299393,3215,2014
Valero Natural Gas Pipeline Company ,6794673,12878,2007
Valero Natural Gas Pipeline Company ,7358070,12638,2008
Valero Natural Gas Pipeline Company ,9054964,16825,2009
Valero Natural Gas Pipeline Company ,8257431,15567,2010
Vector Pipeline L. P. ,379287878,728837,2007
Vector Pipeline L. P. ,384148477,658695,2008
Vector Pipeline L. P. ,491324603,913397,2009
Vector Pipeline L. P. ,494630975,929504,2010
Vector Pipeline L. P. ,539755819,976111,2011
Vector Pipeline L. P. ,565135284,1042011,2012
Vector Pipeline L. P. ,569765427,672534,2013
Vector Pipeline L. P. ,559550266,782136,2014
"Venice Gathering System, LLC ",18780347,26250,2014
"Venice Gathering System, LLC ",56639237,106143,2007
"Venice Gathering System, LLC ",41679136,70764,2008
"Venice Gathering System, LLC ",22560098,41178,2009
"Venice Gathering System, LLC ",19909843,37576,2010
"Venice Gathering System, LLC ",16672398,30166,2011
"Venice Gathering System, LLC ",21126141,38919,2012
"Venice Gathering System, LLC ",19177692,22112,2013
Viking Gas Transmission Co. ,139412020,268351,2007
Viking Gas Transmission Co. ,139035466,238304,2008
Viking Gas Transmission Co. ,152689476,283233,2009
Viking Gas Transmission Co. ,132805598,250774,2010
Viking Gas Transmission Co. ,148225552,268045,2011
Viking Gas Transmission Co. ,126265900,233078,2012
Viking Gas Transmission Co. ,92229106,100187,2013
Viking Gas Transmission Co. ,98314318,137530,2014
WBI Energy Transmission ,137714898,168386,2013
WBI Energy Transmission ,178591040,250159,2014
"West Texas Gas, Inc ",643878,1214,2007
"West Texas Gas, Inc ",638365,1094,2008
"West Texas Gas, Inc ",6407882,12051,2009
"West Texas Gas, Inc ",423900,796,2010
"West Texas Gas, Inc ",276860,502,2011
"West Texas Gas, Inc ",372229,685,2012
"West Texas Gas, Inc ",428321,519,2013
"West Texas Gas, Inc ",428973,599,2014
Western Gas Interstate Company ,3598111,6774,2007
Western Gas Interstate Company ,3887978,6678,2008
Western Gas Interstate Company ,4416192,8195,2009
Western Gas Interstate Company ,4382978,8240,2010
Western Gas Interstate Company ,4077018,7375,2011
Western Gas Interstate Company ,5389245,9927,2012
Western Gas Interstate Company ,4700813,5368,2013
Western Gas Interstate Company ,5128054,7174,2014
"WestGas Interstate, Inc. ",3010782,5675,2007
"WestGas Interstate, Inc. ",3414558,5871,2008
"WestGas Interstate, Inc. ",3512538,6508,2009
"WestGas Interstate, Inc. ",3171425,5980,2010
"WestGas Interstate, Inc. ",3475466,6285,2011
"WestGas Interstate, Inc. ",2587904,4782,2012
"WestGas Interstate, Inc. ",4071492,5167,2013
"WestGas Interstate, Inc. ",3842737,5370,2014
White River Hub LLC ,341474334,621965,2010
White River Hub LLC ,503645014,910400,2011
White River Hub LLC ,520229610,959277,2012
White River Hub LLC ,545945743,649728,2013
White River Hub LLC ,511694262,714949,2014
Williston Basin Interstate ,105369096,202378,2007
Williston Basin Interstate ,140636525,241524,2008
Williston Basin Interstate ,137858375,255242,2009
Williston Basin Interstate ,163171199,305221,2010
Williston Basin Interstate ,140528040,254251,2011
Williston Basin Interstate ,113216664,209062,2012
"WTG Hugoton, L.P. ",43537310,79299,2010
"WTG Hugoton, L.P. ",40183355,72691,2011
"WTG Hugoton, L.P. ",37720165,69590,2012
"WTG Hugoton, L.P. ",34907336,40430,2013
"WTG Hugoton, L.P. ",36096925,50479,2014
Wyoming Interstate Company Ltd ,724420078,1387032,2007
Wyoming Interstate Company Ltd ,761215122,1306467,2008
Wyoming Interstate Company Ltd ,921249947,1711346,2009
Wyoming Interstate Company Ltd ,967943952,1816608,2010
Wyoming Interstate Company Ltd ,936348122,1693692,2011
Wyoming Interstate Company Ltd ,905691915,1670622,2012
Wyoming Interstate Company Ltd ,1055454301,1281046,2013
Wyoming Interstate Company Ltd ,933013822,1302906,2014
"Young Gas Storage Company, Ltd. ",6736819,12894,2007
"Young Gas Storage Company, Ltd. ",5776150,9858,2008
"Young Gas Storage Company, Ltd. ",5261152,9728,2009
"Young Gas Storage Company, Ltd. ",7224864,13465,2010
"Young Gas Storage Company, Ltd. ",6004275,10865,2011
"Young Gas Storage Company, Ltd. ",5307774,9795,2012
"Young Gas Storage Company, Ltd. ",5446991,6453,2013
"Young Gas Storage Company, Ltd. ",4877127,6811,2014
