"","lon","lat","Company","Field","Location","Type","Total","Working"
"133",-78.8680903,42.3292287,"National Fuel Gas Supply Corporation","Perrysburg","Cattaraugus, NY","DGF",5.05,1.85
"134",-79.4668445,42.209774,"National Fuel Gas Supply Corporation","Sherdian","Chautaugua, NY","DGF",4.41,1.1
"135",-78.4941887,42.0900647,"National Fuel Gas Supply Corporation","West Independence","Allegany, NY","DGF",11.8,7.3
"136",-78.8661589,42.9023958,"National Fuel Gas Supply Corporation","Zoar","Erie, NY","DGF",2.25,0.6
"137",-79.1590767,40.6178121,"National Fuel Gas Supply Corporation","Belmouth","Ealk, PA","DGF",1.4,0.8
"138",-78.4342906,41.0305048,"National Fuel Gas Supply Corporation","Boone Mountain","Elk, Clearfield, PA","DGF",2.06,0.93
"139",-80.1433144,41.9968852,"National Fuel Gas Supply Corporation","East Branch A & B","McKean, PA","DGF",13.81,4.5
"140",-77.8367282,41.6682559,"National Fuel Gas Supply Corporation","Ellisburg","Potter, PA","DGF",21.65,12.22
"141",-79.9319942,40.2911809,"National Fuel Gas Supply Corporation","Galbraith","Jefferson, PA","DGF",2.95,1.9
"142",-80.2397852,41.2270025,"National Fuel Gas Supply Corporation","Henderson","Mercer, PA","DGF",5.31,2.5
"143",-80.1433144,41.9968852,"National Fuel Gas Supply Corporation","Keelor","McKean, PA","DGF",3.95,2.4
"144",-79.9319942,40.2911809,"National Fuel Gas Supply Corporation","Markle","Jefferson, PA","DGF",0.34,0.15
"145",-79.2451149,41.5341012,"National Fuel Gas Supply Corporation","Queen","Forest, PA","DGF",0.95,0.3
"146",-78.5660852,41.4284924,"National Fuel Gas Supply Corporation","St. Marys","Elk, PA","DGF",0.53,0.22
"147",-80.085059,42.1292241,"National Fuel Gas Supply Corporation","Summit","Erie, PA","DGF",4.2,1.6
"148",-80.1433144,41.9968852,"National Fuel Gas Supply Corporation","Swede Hill","McKean, PA","DGF",1.1,0.3
"149",-79.8184684,41.6952998,"National Fuel Gas Supply Corporation","Tuscorora","Steuben, PA","DGF",6.39,3.8
"150",-80.1433144,41.9968852,"National Fuel Gas Supply Corporation","Wellendorf","McKean, PA","DGF",1.13,0.45
"151",-78.1564432,41.4261564,"National Fuel Gas Supply Corporation","Wharton","Cameron, PA","DGF",31.4,16
"152",-91.2891036,41.1933001,"Natural Gas Pipeline Company of America","Cario","Louisa, IA","Aquifer",94.06,28.42
"153",-91.2891036,41.1933001,"Natural Gas Pipeline Company of America","Columbus City","Louisa, IA","Aquifer",54.2,16.18
